date,score
1q1990,0.025379433714397517
2q1990,0.02322411022931983
3q1990,0.023650075414781296
4q1990,0.0251796123085265
1q1991,0.025957170668397145
2q1991,0.01943297033420954
3q1991,0.02190054751368784
4q1991,0.02448040436045415
1q1992,0.02574385510996119
2q1992,0.01689933872152829
3q1992,0.018225584594222834
4q1992,0.023364086793097556
1q1993,0.016490943498242767
2q1993,0.010869565217391304
3q1993,0.014650872817955112
4q1993,0.00871222433977675
1q1994,0.009366526990386986
2q1994,0.01060070671378092
3q1994,0.01011029411764706
4q1994,0.0071645081289611464
1q1995,0.012095120951209511
2q1995,0.012133699633699634
3q1995,0.015136876006441223
4q1995,0.008962868117797696
1q1996,0.009437453737971873
2q1996,0.010808225729316117
3q1996,0.014511873350923483
4q1996,0.018349514563106795
1q1997,0.011648695972721407
2q1997,0.01285986452159187
3q1997,0.010033147204734043
4q1997,0.00996506710792425
1q1998,0.013850361777657078
2q1998,0.014175133043057571
3q1998,0.024157935752013162
4q1998,0.010772329964490577
1q1999,0.005082184016625732
2q1999,0.011292729644296643
3q1999,0.01015238591081119
4q1999,0.010325826148830899
1q2000,0.007901059114133928
2q2000,0.015134008902358179
3q2000,0.01983577364463791
4q2000,0.01938907626156871
1q2001,0.02250749970671538
2q2001,0.026053186998733643
3q2001,0.03448431098906046
4q2001,0.02254395036194416
1q2002,0.014798882270755202
2q2002,0.024655086848635235
3q2002,0.015442324814268825
4q2002,0.01990020285177014
1q2003,0.028705806033084657
2q2003,0.01923256902199345
3q2003,0.02463475628482429
4q2003,0.012065167781239458
1q2004,0.01783446524211805
2q2004,0.008075370121130552
3q2004,0.009916094584286803
4q2004,0.007480314960629921
1q2005,0.007927927927927928
2q2005,0.010401721664275465
3q2005,0.012758468983721953
4q2005,0.008210890233362144
1q2006,0.007039774727208729
2q2006,0.010018736338086812
3q2006,0.013278008298755186
4q2006,0.014593214155417731
1q2007,0.016891891891891893
2q2007,0.01274740020127474
3q2007,0.025375170532060027
4q2007,0.02667033809964007
1q2008,0.024635495223730517
2q2008,0.018001565353509
3q2008,0.029421598127716483
4q2008,0.02501008471157725
1q2009,0.024430740037950663
2q2009,0.017059150750973483
3q2009,0.01264466352336048
4q2009,0.01686046511627907
1q2010,0.013586319981260248
2q2010,0.0148263753413968
3q2010,0.014360313315926894
4q2010,0.012805587892898719
1q2011,0.009903270382312299
2q2011,0.01560410164957646
3q2011,0.021846504559270518
4q2011,0.01251025430680886
1q2012,0.009314545020300932
2q2012,0.016418775352520766
3q2012,0.014564062192481795
4q2012,0.01331148883882859
1q2013,0.014793507294020958
2q2013,0.00977679394945582
3q2013,0.01646354500748343
4q2013,0.014401123990165085
1q2014,0.018467220683287166
2q2014,0.007215288611544462
3q2014,0.008361204013377926
4q2014,0.009977324263038548
1q2015,0.008960573476702509
2q2015,0.009895547003848268
3q2015,0.01541806681162285
4q2015,0.01218119527978683
1q2016,0.0174077578051088
2q2016,0.014162782359268555
3q2016,0.00972634355423673
4q2016,0.007358093903293623
1q2017,0.005435677812551474
2q2017,0.0067861492952844965
3q2017,0.009109659676864902
4q2017,0.00991639121135524
1q2018,0.00984251968503937
2q2018,0.006835544833132288
3q2018,0.007057874571486187
4q2018,0.014354066985645933
1q2019,0.00995575221238938
2q2019,0.01729559748427673
